Clave,Longitud,Latitud,Estaci�n,region,comid,order,lat-routlet,lon-routlet
E000000001,-79.27500331,-4.77496817,,AMAZONIA,620610106,2,-4.81333333,-79.1965555
E000000002,-79.02500331,-4.77496817,,AMAZONIA,620567449,2,-4.79877777,-79.065
E000000003,-79.32500331,-4.67496817,,AMAZONIA,620538548,2,-4.66844444,-79.2951111
E000000004,-79.47500331,-4.62496817,V,SIERRA,670042501,2,-4.62388888,-79.4883333
E000000005,-79.42500331,-4.57496817,V,SIERRA,670067073,2,-4.58055555,-79.4308888
E000000006,-79.37500331,-4.52496817,,SIERRA,670043520,2,-4.52111111,-79.4064444
E000000007,-80.37500331,-4.47496817,,SIERRA,670080381,5,-4.47944444,-80.3623333
E000000011,-79.37500331,-4.47496817,,SIERRA,670042492,2,-4.43511111,-79.4453333
E000000012,-79.12500331,-4.47496817,,AMAZONIA,620659625,2,-4.52466666,-79.0798888
E000000013,-78.92500331,-4.47496817,,AMAZONIA,620771079,2,-4.43422222,-78.8795555
E000000014,-79.82500331,-4.37496817,V,SIERRA,670051705,2,-4.38011111,-79.8163333
E000000015,-79.47500331,-4.37496817,V,SIERRA,670046586,2,-4.40955555,-79.4508888
E000000016,-79.17500331,-4.37496817,V,SIERRA,670054777,2,-4.34977777,-79.2261111
E000000017,-80.37500331,-4.32496817,,SIERRA,670053750,2,-4.29155555,-80.3838888
E000000018,-80.02500331,-4.32496817,,SIERRA,670026104,2,-4.322,-80.0318888
E000000019,-79.77500331,-4.32496817,V,SIERRA,670051703,2,-4.26933333,-79.7842222
E000000020,-79.67500331,-4.32496817,V,SIERRA,670039418,2,-4.39422222,-79.6303333
E000000021,-79.57500331,-4.32496817,V,SIERRA,670052727,2,-4.30555555,-79.5888888
E000000022,-79.22500331,-4.32496817,V,SIERRA,670047608,2,-4.33544444,-79.2264444
E000000023,-80.17500331,-4.27496817,V,SIERRA,670072183,5,-4.335,-80.1857777
E000000024,-79.57500331,-4.27496817,,SIERRA,670063991,3,-4.24622222,-79.5796666
E000000025,-79.42500331,-4.27496817,V,SIERRA,670046581,2,-4.26155555,-79.4637777
E000000026,-79.42500331,-4.22496817,V,SIERRA,670035316,2,-4.24044444,-79.4556666
E000000027,-79.27500331,-4.22496817,V,SIERRA,670057844,2,-4.22866666,-79.2754444
E000000028,-80.42500331,-4.17496817,,SIERRA,670045555,2,-4.16111111,-80.4331111
E000000029,-80.07500331,-4.17496817,,SIERRA,670050674,2,-4.17166666,-80.091
E000000030,-80.22500331,-4.12496817,,SIERRA,670036338,2,-4.15588888,-80.2594444
E000000031,-79.97500331,-4.12496817,V,SIERRA,670055793,2,-4.14655555,-80.0165555
E000000032,-79.87500331,-4.12496817,,SIERRA,670046576,2,-4.13655555,-79.8788888
E000000033,-79.47500331,-4.12496817,,SIERRA,670041458,2,-4.111,-79.5152222
E000000034,-79.27500331,-4.12496817,,SIERRA,670049649,2,-4.16722222,-79.3313333
E000000035,-79.12500331,-4.12496817,,AMAZONIA,620612823,2,-4.088,-79.1082222
E000000036,-79.62500331,-4.07496817,V,SIERRA,670042480,2,-4.13111111,-79.5826666
E000000037,-78.67500331,-4.07496817,,AMAZONIA,620638963,2,-4.03522222,-78.6632222
E000000038,-80.02500331,-4.02496817,V,SIERRA,670047597,3,-4.04022222,-80.0201111
E000000039,-79.97500331,-4.02496817,,SIERRA,670040429,3,-4.02655555,-79.9838888
E000000040,-79.62500331,-4.02496817,,SIERRA,670042477,2,-4.01588888,-79.6795555
E000000041,-79.17500331,-4.02496817,V,SIERRA,620004625,2,-4.01133333,-79.1858888
E000000042,-79.37500331,-3.97496817,,SIERRA,670052715,3,-3.99322222,-79.3882222
E000000043,-79.32500331,-3.97496817,V,SIERRA,670048619,2,-3.96533333,-79.3353333
E000000044,-79.27500331,-3.97496817,,SIERRA,670048619,2,-3.96533333,-79.3353333
E000000045,-79.07500331,-3.97496817,V,AMAZONIA,620616942,3,-3.95022222,-79.0477777
E000000046,-80.37500331,-3.92496817,,COSTA,670050668,4,-3.98422222,-80.4037777
E000000047,-80.22500331,-3.92496817,,COSTA,670059881,5,-3.92533333,-80.181
E000000048,-79.87500331,-3.92496817,,SIERRA,670034282,2,-3.92666666,-79.8936666
E000000049,-79.67500331,-3.92496817,,SIERRA,670033256,2,-3.85244444,-79.704
E000000050,-79.47500331,-3.92496817,,SIERRA,670029161,2,-3.91255555,-79.5115555
E000000051,-78.67500331,-3.92496817,V,AMAZONIA,620974700,4,-3.92933333,-78.6808888
E000000052,-80.02500331,-3.77496817,,COSTA,670029156,2,-3.80466666,-80.0825555
