Clave,Longitud,Latitud,Altura,Nombre,Estacion,DEPARTAMEN,PROVINCIA,MUNICIPIO,comid
E000001002,-64.37833,-19.24639,2120,Arquillos,,Chuquisaca,Tomina,Padilla,620048093
E000001003,-64.41,-20.10056,2530,Azurduy,,Chuquisaca,Azurduy,Azurduy,620037132
E000001005,-65.26667,-19.13333,2400,Cachimayu,,Chuquisaca,Oropeza,Yotala,640326278
E000001008,-64.9425,-20.82861,2960,Culpina,,Chuquisaca,Sud Cinti,Culpina,640367841
E000001012,-65.1225,-18.83111,1775,Chuqui Chuqui,,Chuquisaca,Oropeza,Sucre,620126504
E000001016,-64.30694,-19.63111,2080,El Villar,,Chuquisaca,Tomina,El Villar,620038483
E000001021,-64.00222,-20.36111,1140,Huacareta La Galeria,,Chuquisaca,Hernando Siles,Huacareta,620019258
E000001023,-65.9575,-19.34778,2080,La Mendoza,,Chuquisaca,Yamparaez,Yocalla,640266386
E000001025,-65.14083,-20.61583,2420,La Torre,,Chuquisaca,Nor Cinti,Camargo,640345945
E000001029,-63.96306,-19.82111,1117,Monteagudo_El Ba?ado,,Chuquisaca,Hernando Siles,Monteagudo,620056380
E000001031,-65.14667,-20.49139,3120,Muyuquiri,,Chuquisaca,Nor Cinti,Camargo,640327505
E000001032,-64.29278,-18.99611,2220,Nuevo Mundo,,Chuquisaca,B. Boeto,Villa Serrano,620065969
E000001033,-65.27556,-19.20472,2398,?ucchu,,Chuquisaca,Oropeza,Yotala,640419597
E000001034,-64.30222,-19.30222,2102,Padilla,,Chuquisaca,Tomina,Padilla,620059105
E000001038,-65.42583,-18.53417,2300,Poroma (CHQ),,Chuquisaca,Oropeza,Poroma,620114105
E000001039,-65.53056,-19.01972,3080,Potolo,,Chuquisaca,Oropeza,Sucre,640297476
E000001041,-65.17722,-19.35333,2200,Puente Sucre,,Chuquisaca,Oropeza,Yotala,640510613
E000001042,-65.30833,-18.98333,3300,Punilla,,Chuquisaca,Oropeza,Sucre,620121007
E000001043,-64.61611,-18.825,2460,Redencion Pampa,,Chuquisaca,Zuda?ez,Mojocoya,620035687
E000001045,-65.13333,-20.1025,3055,San Lucas,,Chuquisaca,Nor Cinti,San Lucas,640386238
E000001048,-64.77528,-20.58278,2100,Santa Elena,,Chuquisaca,Nor Cinti,Villa Charcas,640342487
E000001051,-65.40528,-19.11,2859,Talula_Tako Tako,,Chuquisaca,Oropeza,Sucre,640277896
E000001056,-64.26417,-19.16972,1980,Urriolagoytia,,Chuquisaca,B. Boeto,Villa Serrano,620053593
E000001058,-64.38778,-19.36083,2080,Villa Alcala,,Chuquisaca,Tomina,Alcal�,620050852
E000001059,-64.3225,-19.11833,2108,Villa Serrano,,Chuquisaca,B. Boeto,Villa Serrano,620092118
E000001060,-64.85278,-19.40833,2030,Vi?a Quemada,,Chuquisaca,Zuda?ez,Villa Ricardo Mugia - Icla,640462232
E000001062,-65.26639,-19.16167,2520,Yotala,,Chuquisaca,Oropeza,Yotala,640427659
E000001063,-64.70333,-19.11889,2475,Zuda?ez,,Chuquisaca,Zuda?ez,Zuda�ez,620094871
E000001063,-64.70333,-19.11889,2475,Zuda?ez,,Chuquisaca,Zuda?ez,Zuda�ez,620096247
E000001064,-65.24306,-19.03806,2840,El Reloj,,Chuquisaca,Oropeza,Sucre,620075601
E000001066,-63.89472,-20.58083,820,Rosario del Ingre,,Chuquisaca,Hernando Siles,Huacareta,640465750
E000001072,-65.24306,-19.03806,2840,Sucre SENAMHI,,Chuquisaca,Oropeza,Sucre,620075601
E000001082,-65.1575,-20.23611,3408,Padcoyo_H,,Chuquisaca,Nor Cinti,San Lucas,640282564
E000001083,-64.0275,-20.72833,860,?acamiri Iguembecito,,Chuquisaca,Hernando Siles,Huacareta,640547550
E000001086,-63.36,-20.81361,660,Macharety,,Chuquisaca,Luis Calvo,Macharet�,640501474
E000002001,-68.00833,-17.09417,3888,Ayo Ayo,,La Paz,Aroma,Ayo Ayo,660105651
E000002003,-68.99944,-17.21167,3880,Achiri,,La Paz,Pacajes,Caquiaviri,660085941
E000002004,-68.07139,-16.53083,3200,Achumani,,La Paz,Murillo,Nuestra Se�ora de La Paz,620202059
E000002005,-69.08861,-16.16917,3815,Copacabana,,La Paz,Manco Kapac,Copacabana,660045796
E000002006,-68.63556,-17.28056,3826,Calacoto,,La Paz,Pacajes,Calacoto,660126070
E000002008,-68.28167,-16.90028,3911,Collana,,La Paz,Aroma,Collana,660057071
E000002009,-68.745,-15.24833,2250,Camata,,La Paz,Mu ecas,Ayata,620397385
E000002012,-67.57361,-15.83472,600,Caranavi,,La Paz,Caranavi,Caranavi,620446952
E000002014,-69.06417,-15.75528,3826,Carabuco,,La Paz,Camacho,Puerto Mayor de Carabuco,660041565
E000002015,-69.48639,-17.15861,4253,Catacora,,La Paz,Gral. Jose Manuel Pando,Catacora,660085939
E000002017,-67.14972,-16.88278,2240,Chorocona,,La Paz,Inquisivi,Inquisivi,620275007
E000002019,-68.49639,-16.29611,3870,Chirapaca,,La Paz,Los Andes,Batallas,660067621
E000002023,-67.45278,-16.47306,1946,Irupana,,La Paz,Sud Yungas,Irupana,620211688
E000002040,-68.10083,-16.52278,3480,Alto Obrajes_Barrio Magisterio,,La Paz,Murillo,Nuestra Se�ora de La Paz,620255724
E000002041,-68.16083,-16.58111,3764,Achocalla,,La Paz,Murillo,Achocalla,620221326
E000002042,-68.90417,-15.89833,3870,Ancoraimes,,La Paz,Omasuyos,Villa Ancoraimes,660039454
E000002044,-69.21417,-17.28889,4120,Berenguela,,La Paz,Pacajes,Santiago de Machaca,660021878
E000002050,-67.25222,-16.63722,2012,Circuata,,La Paz,Inquisivi,Cajuata,620017682
E000002052,-67.45528,-17.37694,3965,Conchamarca,,La Paz,Aroma,Sicasica,660078199
E000002055,-69.00361,-15.19528,3659,Charazani,,La Paz,Bautista Saavedra,Charazani,620354725
E000002056,-68.0925,-16.44972,4024,Chuquiaguillo_LP,,La Paz,Murillo,Nuestra Se�ora de La Paz,620248839
E000002090,-68.19861,-16.51028,4071,El Alto Aeropuerto,,La Paz,Murillo,El Alto,660074664
E000003003,-65.93278,-17.78361,3032,Anzaldo,,Cochabamba,Esteban Arce,Anzaldo,620112686
E000003004,-65.76889,-17.56556,2749,Arani,,Cochabamba,Arani,Arani,620141572
E000003005,-66.26528,-17.71,2406,Capinota,,Cochabamba,Capinota,Capinota,620225516
E000003008,-65.87083,-17.33611,3309,Colomi,,Cochabamba,Chapare,Colomi,620197975
E000003009,-65.64333,-17.00778,517,Cristal Mayu,,Cochabamba,Chapare,Villa Tunari,620301159
E000003018,-66.23167,-17.34722,2614,La Violeta,,Cochabamba,Quillacollo,Tiquipaya,620169082
E000003020,-66.32722,-17.09028,3793,Misicuni,,Cochabamba,Quillacollo,Quillacollo,620246123
E000003021,-65.31722,-17.91833,2045,Mizque,,Cochabamba,Mizque,Mizque,620153973
E000003023,-66.31861,-17.36611,2600,Pairumani,,Cochabamba,Quillacollo,Vinto,620123672
E000003024,-66.34361,-17.56611,2493,Parotani,,Cochabamba,Quillacollo,Sipesipe,620240642
E000003028,-65.90472,-17.52861,2710,San Benito,,Cochabamba,Punata,San Benito,620218626
E000003031,-65.72444,-17.42528,3304,Tiraque,,Cochabamba,Tiraque,Tiraque,620219995
E000003035,-66.17444,-17.41611,2548,Cochabamba Aeropuerto,,Cochabamba,Cercado,Cochabamba,620142940
E000003067,-66.24917,-17.565,2554,Santiva?ez,,Cochabamba,Capinota,Santiva�ez,620169092
E000003083,-65.88333,-17.8,3174,Sacabamba,,Cochabamba,Esteban Arce,Anzaldo,620125070
E000003097,-66.17472,-17.38139,2587,Sarco,,Cochabamba,Cercado,Cochabamba,620203482
E000003123,-66.21694,-17.09861,3896,Sivingani Misicuni,,Cochabamba,Quillacollo,Tiquipaya,620036971
E000003380,-66.3525,-17.16528,3952,Sunjani Misicuni,,Cochabamba,Quillacollo,Quillacollo,620186958
E000003381,-66.36556,-17.18028,4273,Templo Misicuni,,Cochabamba,Quillacollo,Quillacollo,620186958
E000004001,-67.50639,-18.77194,3762,Andamarca,,Oruro,Sud Carangas,Andamarca,660096527
E000004004,-67.67833,-18.34389,3758,Corque,,Oruro,Carangas,Corque,660157062
E000004005,-68.70639,-18.17778,3906,Cosapa,,Oruro,Sajama,Turco,660114117
E000004006,-67.46389,-17.78694,3735,Chuqui?a,,Oruro,Saucari,Toledo,660152830
E000004010,-67.93972,-17.83556,3873,Huayllamarca,,Oruro,Nor Carangas,Huayllamarca,660053567
E000004014,-66.95972,-19.23,3724,Quillacas,,Oruro,Avaroa,Santuario de Quillacas,660169046
E000004015,-68.78917,-18.57194,3845,Sacabaya,,Oruro,Atahuallpa,Sabaya,660166923
E000004019,-67.59917,-19.275,3712,San Martin,,Oruro,Ladislao Cabrera,Salinas de Garc� Mendoza,660114135
E000004027,-67.08,-17.97472,3720,Caba?a Forestal Oruro,,Oruro,Cercado,Oruro,660147201
E000004035,-68.41639,-17.8425,3906,Curahuara de Carangas,,Oruro,Sajama,Curahuara de Carangas,660116223
E000005007,-65.36111,-19.64806,3450,Chinoli,,Potos?,Jose Maria Linares,Puna,640276772
E000005009,-66.13333,-19.85,3760,Chaquilla,,Potos?,Antonio Quijarro,Porco,640365488
E000005013,-67.8175,-22.17222,4278,Laguna Colorada,,Potos?,Sud Lipez,San Pablo,660172616
E000005015,-65.75,-19.58333,3950,Potosi Los Pinos,,Potos?,Tomas Frias,Potos�,640390818
E000005017,-65.55056,-21.82917,3400,Mojo,,Potos?,Modesto Omiste,Villaz�n,640501528
E000005018,-65.64694,-20.82222,2616,Cotagaita Mosoj Llajta,,Potos?,Nor Chichas,Cotagaita,640575203
E000005020,-65.50333,-19.79722,3420,Puna,,Potos?,Jose Maria Linares,Puna,640404653
