Clave,Longitud,Latitud,Altitud,Estaci�n,Nombre,comid
E000V00003,-69.477999999999994,-17.594999999999999,"4.085",V,VISVIRI,660097211
E000V00002,-69.554000000000002,-18.196999999999999,"3577",V,PUTRE,660146501
E000180005,-70.340000000000003,-18.356000000000002,"50",O,ARICA,670013307
E000V00001,-69.856999999999999,-19.010999999999999,"100",V,CAMARONES,660211987
E000V00006,-68.638000000000005,-19.276000000000000,"3720",V,COLCHANE,660107799
E000V00005,-69.427000000000007,-19.312999999999999,"2417",V,CAMI�A,660151448
E000V00007,-69.766999999999996,-19.995999999999999,"1113",V,HUARA,660141603
E000V00004,-70.117000000000004,-20.250000000000000,"339",V,ALTO HOSPICIO,660114152
E000V00008,-69.341999999999999,-20.501000000000001,"1325",V,PICA,660163436
E000200006,-70.180999999999997,-20.548999999999999,"48",O,IQUIQUE,660007150
E000V00011,-68.254999999999995,-21.224000000000000,"3706",V,OLLAG�E,660175415
E000V00013,-70.200000000000003,-22.091000000000001,"19",V,TOCOPILLA,660162758
E000V00014,-69.665999999999997,-22.350000000000001,"1210",V,MARIA ELENA,660021259
E000220002,-68.891999999999996,-22.498000000000001,"2321",O,CALAMA,660169101
E000V00009,-69.319999999999993,-22.891999999999999,"1626",V,SIERRA GORDA,660197267
E000V00012,-68.212999999999994,-22.931999999999999,"2416",V,SAN PEDRO DE ATACAMA,660194452
E000230001,-70.444999999999993,-23.454000000000001,"112",O,ANTOFAGASTA,660150108
E000V00166,-67.439999999999998,-23.600000000000001,NA,V,V3,660185311
E000V00165,-68.569999999999993,-23.940000000000001,NA,V,V2,660072678
E000V00164,-69.689999999999998,-24.510000000000002,NA,V,V1,660212783
E000V00167,-69.299999999999997,-25.000000000000000,NA,V,V4,660209271
E000V00010,-70.483999999999995,-25.411000000000001,"37",V,TALTAL,660238142
E000V00168,-69.269999999999996,-25.699999999999999,NA,V,V5,660195203
E000V00169,-68.989999999999995,-26.250000000000000,NA,V,V6,660164236
E000V00016,-70.611000000000004,-26.332000000000001,"23",V,CHA�ARAL,660193805
E000V00017,-70.046000000000006,-26.390999999999998,"787",V,DIEGO DE ALMAGRO,660197326
E000V00170,-69.329999999999998,-27.070000000000000,NA,V,V7,660085402
E000270008,-70.781000000000006,-27.254000000000001,"197",O,DESIERTO ATACAMA,660006557
E000270009,-70.352999999999994,-27.359000000000002,"362",O,COPIAPO U ATACAMA,660104415
E000V00171,-69.810000000000002,-27.980000000000000,NA,V,V8,660069929
E000V00019,-71.224999999999994,-28.463000000000001,"25",V,HUASCO,660060785
E000V00018,-70.448999999999998,-28.768000000000001,"822",V,ALTO DEL CARMEN,660065014
E000V00015,-70.000000000000000,-28.975999999999999,"1173",V,TIERRA AMARILLA,660044602
E000V00021,-71.116000000000000,-29.372000000000000,"281",V,LA HIGUERA,660069248
E000290004,-71.206999999999994,-29.914000000000001,"137",O,LA SERENA,660065737
