Estacion,Lon,Lat,1,3,6,9,12
E000V00003,-69.478,-17.595,0.117,-0.225,-0.279,0.235,0.282
E000V00002,-69.554,-18.197,0.898,0.528,0.468,1.274,1.346
E000180005,-70.34,-18.356,0.988,0.698,-0.001,0.071,0.053
E000V00001,-69.857,-19.011,-0.323,-0.494,-0.453,-0.267,-0.445
E000V00006,-68.638,-19.276,-0.137,-0.6,-0.65,2.013,1.356
E000V00005,-69.427,-19.313,-0.564,-0.66,-0.617,-0.098,-0.293
E000V00007,-69.767,-19.996,0.103,-0.441,-0.585,-0.45,-0.46
E000V00004,-70.117,-20.25,-0.251,-0.506,-0.748,-0.788,-1.01
E000V00008,-69.342,-20.501,-0.143,-0.472,-0.639,-0.321,-0.492
E000200006,-70.181,-20.549,-0.429,-0.507,-0.699,-0.773,-0.978
E000V00013,-70.2,-22.091,1.088,-0.205,-0.744,-0.737,-0.97
E000V00014,-69.666,-22.35,1.307,-0.23,-0.626,-0.602,-0.823
E000220002,-68.892,-22.498,1.373,-0.235,-0.761,-0.692,-0.844
E000V00009,-69.32,-22.892,2.244,-0.173,-0.453,-0.165,-0.21
E000V00012,-68.213,-22.932,-0.026,-0.705,-0.68,-0.552,-0.756
E000230001,-70.445,-23.454,-0.333,-0.878,-1.317,-1.229,-1.298
E000V00166,-67.44,-23.6,-0.303,-0.665,-0.744,-0.833,-0.954
E000V00165,-68.57,-23.94,2.249,-0.027,-0.899,-0.431,-0.566
E000V00164,-69.69,-24.51,1.466,-0.368,-0.861,-0.046,-0.073
E000V00167,-69.3,-25.0,1.493,-0.465,-0.772,0.157,-0.025
E000V00010,-70.484,-25.411,0.74,-0.561,-0.651,-0.384,-0.511
E000V00168,-69.27,-25.7,1.025,-0.492,-0.63,-0.517,-0.65
E000V00169,-68.99,-26.25,-0.394,-0.843,-0.897,-0.719,-0.854
E000V00016,-70.611,-26.332,-0.446,-0.439,-0.428,-0.229,-0.497
E000V00017,-70.046,-26.391,-0.445,-0.464,-0.455,-0.32,-0.572
E000V00170,-69.33,-27.07,-0.205,-0.516,-0.505,-0.374,-0.628
E000270008,-70.781,-27.254,2.591,-0.241,-0.56,0.198,0.193
