Clave,Longitud,Latitud,comid
E011010010,-76.544722219999997,5.458944440000000,610439693
E011030040,-76.740861109999997,5.481611110000000,610416812
E011040010,-76.537805559999995,5.743611110000000,610267196
E011110010,-76.133611110000004,6.763333330000000,610253934
E011110020,-76.075000000000003,6.642500000000000,610282982
E011135030,-77.087861110000006,8.036722220000000,610222175
E012010070,-76.647777779999998,7.884444440000000,610269706
E012010090,-76.711888889999997,7.747666670000000,610213394
E012010110,-76.638527780000004,7.987416670000000,610272338
E012015020,-76.651333330000000,7.825916670000000,610230110
E012020010,-76.519999999999996,8.199997220000000,610281127
E012030010,-76.533055559999994,8.755222220000000,610270533
E012045010,-76.431944439999995,8.846944440000000,610226531
E012045020,-76.224444439999999,9.071111110000000,610237072
E013030010,-76.053055560000004,8.186666669999999,610251211
E013040030,-76.169166669999996,8.262222220000000,610238883
E013070100,-75.601416670000006,8.741111110000000,610204532
E013070280,-75.751388890000001,8.788611110000000,610237093
E013075020,-75.582222220000006,8.913888890000004,610192202
E013080010,-75.953333330000007,8.935861109999999,610161404
E013085030,-75.950000000000003,9.369999999999999,610288102
E013090040,-75.322500000000005,9.538611110000000,610155208
E014010010,-75.107972219999994,10.746111109999999,610091770
E014010050,-75.340000000000003,10.410000000000000,610162193
E015010010,-74.120000000000005,11.140833330000000,610048629
E015010020,-73.764750000000006,11.250130560000001,610075024
E015045010,-73.030277780000006,11.263888890000000,610056541
E015060040,-72.877527779999994,11.034361110000001,610061836
E015060180,-72.711500000000001,11.138027780000000,610053030
E015070070,-71.952277780000003,12.126361109999999,610028331
E015080070,-71.515888889999999,11.899416670000001,610028342
E015085030,-72.359944440000007,11.216749999999999,610053023
E016010010,-72.477777779999997,7.817777780000000,610205468
E016010110,-72.590833329999995,7.612777780000000,610232765
E016020010,-72.799444440000002,7.891944440000000,610224825
E016020280,-72.592500000000001,7.900833330000000,610257385
E016020340,-72.436111109999999,8.216944440000002,610220408
E016025010,-72.566111109999994,7.848888890000000,610213390
E016025040,-72.468611109999998,8.167777780000000,610278489
E016030080,-72.832499999999996,7.950277780000000,610176422
E016030090,-72.980000000000004,7.914722220000000,610178183
E016030140,-72.693611110000006,8.342777780000000,610278484
E016035010,-72.726666670000000,8.638333330000000,610263501
E016035030,-72.803055560000004,8.076666670000000,610234496
E016040050,-73.211666670000000,7.934444440000000,610260901
