Clave,Longitud,Latitud,Estaci�n,region,comid,order,latitude,longitude
E000000001,-79.275003310000002,-4.774968170000000,,AMAZONIA,620610106,2,-4.8133333300,-79.1965555000
E000000002,-79.025003310000002,-4.774968170000000,,AMAZONIA,620567449,2,-4.7987777700,-79.0650000000
E000000003,-79.325003310000000,-4.674968170000000,,AMAZONIA,620538548,2,-4.6684444400,-79.2951111000
E000000004,-79.475003310000005,-4.624968170000000,V,SIERRA,670042501,2,-4.6238888800,-79.4883333000
E000000005,-79.425003309999994,-4.574968170000000,V,SIERRA,670067073,2,-4.5805555500,-79.4308888000
E000000006,-79.375003309999997,-4.524968170000000,,SIERRA,670043520,2,-4.5211111100,-79.4064444000
E000000007,-80.375003309999997,-4.474968170000001,,SIERRA,670080381,5,-4.4794444400,-80.3623333000
E000000011,-79.375003309999997,-4.474968170000001,,SIERRA,670042492,2,-4.4351111100,-79.4453333000
E000000012,-79.125003309999997,-4.474968170000001,,AMAZONIA,620659625,2,-4.5246666600,-79.0798888000
E000000013,-78.925003309999994,-4.474968170000001,,AMAZONIA,620771079,2,-4.4342222200,-78.8795555000
E000000014,-79.825003310000000,-4.374968170000000,V,SIERRA,670051705,2,-4.3801111100,-79.8163333000
E000000015,-79.475003310000005,-4.374968170000000,V,SIERRA,670046586,2,-4.4095555500,-79.4508888000
E000000016,-79.175003309999994,-4.374968170000000,V,SIERRA,670054777,2,-4.3497777700,-79.2261111000
E000000017,-80.375003309999997,-4.324968170000000,,SIERRA,670053750,2,-4.2915555500,-80.3838888000
E000000018,-80.025003310000002,-4.324968170000000,,SIERRA,670026104,2,-4.3220000000,-80.0318888000
E000000019,-79.775003310000002,-4.324968170000000,V,SIERRA,670051703,2,-4.2693333300,-79.7842222000
E000000020,-79.675003309999994,-4.324968170000000,V,SIERRA,670039418,2,-4.3942222200,-79.6303333000
E000000021,-79.575003310000000,-4.324968170000000,V,SIERRA,670052727,2,-4.3055555500,-79.5888888000
E000000022,-79.225003310000005,-4.324968170000000,V,SIERRA,670047608,2,-4.3354444400,-79.2264444000
E000000023,-80.175003309999994,-4.274968170000000,V,SIERRA,670072183,5,-4.3350000000,-80.1857777000
E000000024,-79.575003310000000,-4.274968170000000,,SIERRA,670063991,3,-4.2462222200,-79.5796666000
E000000025,-79.425003309999994,-4.274968170000000,V,SIERRA,670046581,2,-4.2615555500,-79.4637777000
E000000026,-79.425003309999994,-4.224968170000001,V,SIERRA,670035316,2,-4.2404444400,-79.4556666000
E000000027,-79.275003310000002,-4.224968170000001,V,SIERRA,670057844,2,-4.2286666600,-79.2754444000
E000000028,-80.425003309999994,-4.174968170000000,,SIERRA,670045555,2,-4.1611111100,-80.4331111000
E000000029,-80.075003310000000,-4.174968170000000,,SIERRA,670050674,2,-4.1716666600,-80.0910000000
E000000030,-80.225003310000005,-4.124968170000000,,SIERRA,670036338,2,-4.1558888800,-80.2594444000
E000000031,-79.975003310000005,-4.124968170000000,V,SIERRA,670055793,2,-4.1465555500,-80.0165555000
E000000032,-79.875003309999997,-4.124968170000000,,SIERRA,670046576,2,-4.1365555500,-79.8788888000
E000000033,-79.475003310000005,-4.124968170000000,,SIERRA,670041458,2,-4.1110000000,-79.5152222000
E000000034,-79.275003310000002,-4.124968170000000,,SIERRA,670049649,2,-4.1672222200,-79.3313333000
E000000035,-79.125003309999997,-4.124968170000000,,AMAZONIA,620612823,2,-4.0880000000,-79.1082222000
E000000036,-79.625003309999997,-4.074968170000000,V,SIERRA,670042480,2,-4.1311111100,-79.5826666000
E000000037,-78.675003309999994,-4.074968170000000,,AMAZONIA,620638963,2,-4.0352222200,-78.6632222000
