Clave,Longitud,Latitud,Nombre,comid
E000210402,-70.7,-15.7,LAGUNILLAS,660066204
E000210404,-70.617,-15.75,SARACOCHA,660057052
E000210401,-70.133,-15.433,PUENTE MARAVILLAS,660054231
E000210901,-70.067,-15.7,PUENTE ILLPA,660060571
E000204501,-72.833,-15.85,SALAMANCA,670101279
E000204508,-72.933,-15.2,CUYAU,670118664
E000204505,-72.767,-15.4,EL VADO,670105358
E000204502,-73.15,-16.333,SECOCHA,670101297
E000204503,-73.117,-16.433,MOLLEBAMBA,670122805
E000203820,-74.917,-14.233,LLAUTA,670050020
E000203813,-75.167,-14.367,HUARACCO,670068457
E000203801,-75.167,-14.5,ORONGO,670065388
E000203805,-75.167,-14.683,SURCUNA,670074613
E000203812,-74.917,-14.6,MURO,670066418
E000230712,-75.011,-14.633,HUALLPOCA - ZURCUCA,670093043
E000203806,-75.267,-14.6,SOCOS,670060277
E000203807,-74.85,-14.85,SOL DE ORO,670095098
E000203808,-74.967,-14.833,EL MOLINO,670110458
E000203810,-74.917,-14.967,PUNTILLA,670089983
E000203811,-74.883,-14.967,LAS TRANCAS,670088959
E000203902,-74,-14.817,CECCHAPAMPA,670078714
E000204001,-74.317,-15.3,LA PALMA,670119691
E000203903,-74.633,-15.483,BELLA UNION,670142225
E000203904,-74.633,-15.633,CHAVIHA,670114583
E000204002,-74.45,-15.483,PUENTE JAQUI,670145298
E000203704,-75.583,-13.833,HUAMANI,670027476
E000203707,-75.667,-13.917,ALEJANDRO PLAZA GARCIA,670061272
E000203706,-75.383,-13.783,CHALLACA,670044884
E000203814,-75.517,-14.217,PUENTE PANAMERICANA,670036708
E000203603,-75.883,-13.733,LETRAYOC II,670050002
E000203608,-75.3,-13.217,RESERVORIO LAGUNA PALCOCOCHA,670020287
E000230701,-75.2,-13.267,DIQUE ORCOCOCHA,670015170
E000203606,-75.183,-13.1,RESERVORIO LAGUNA ACNOCOCHA,670033594
E000203502,-76.117,-13.417,SAN JUAN,670028487
E000203602,-75.717,-13.65,LETRAYOC,670042831
